propname,npropname
Oral Care - Gingivitis,"Aconitum nap., Arnica, Arsenicum alb., Baptisia, Belladonna, Bryonia, Calendula, Chamomilla, Chelidonium majus,Crotalus horridus, Gelsemium, Hepar sulph.calc., Kreosotum, Merc. viv., Myrrha, Nux vom., Phosphorus, Phytolacca, Plantago, Rhus toxicodendron, Slicea, Staphysag., Echinacea"
Headache - Migraine,"Elaps corallinus, Arsenicum alb., Belladonna, Bryonia, Carduus benedictus, Cimicifuga, Coffea cruda, Convallaria, Crotalus horridus, Digitalis, Gelsemium, Glonoinum, Ignatia, Lachesis, Merc. viv., Naja, Nux vom., Phosphorus, Rhus toxicodendron, Sanguinaria, Secale, Vipera berus, Apis mel., Hypericum, Thuja occ."
Hemorrhoids,"Elaps corallinus, Aesculus hipp., Aloe, Arsenicum alb., Bryonia, Calc. fluor., Capsicum, Collinsonia, Crotalus horridus, Hamamelis, Hydrofluoricum acidum, Hypericum, Lachesis, Lycopodium, Millefolium, Naja, Nux vom., Paeonia, Plantago, Quercus glandium spiritus, Ratanhia, Vipera berus, Aesculus hipp, Echinacea, Solidago, Urtica ur., Aesculus hipp., Echinacea, Solidago, Urtica ur."
Menstrual - PMS,"Angelica sinensis radix, Arsenicum alb., Bryonia, Caulophyllum, Cimicifuga,Cinchona, Dioscorea, Folliculinum, Gelsemium, Lachesis, Lilium, Lycopodium, Millefolium, Nux vom., Pulsatilla, Sabina, Secale, Sepia, Thlaspi, Viburnum op., Zingiber, Echinacea, Valeriana"
Herpes Sores,"Arsenicum alb., Bryonia, Cantharis, Chelidonium majus, Cistus canadensis, Conium, Croton, Dulcamara, Graphites, Kali bic., Lycopodium, Mezereum, Nux vom., Petroleum, Pulsatilla, Ranunc. bulb., Rhus toxicodendron, Sarsaparilla, Sepia, Sulphur, Thuja occ., Echinacea, Hypericum"
Cardiac Support,"Elaps corallinus, Aconitum nap., Arsenicum alb., Aur. met., Baryta carb., Benzoicum acidum, Berber. vulg., Bryonia, Calc. fluor. ,Cantharis, Ceanothus, Chelidonium majus , Chionanthus virginica, Cinchona, Convallaria, Crotalus horridus, Digitalis, Gelsemium , Glonoinum, Hydroflouricum acidum, Kali iodatum, Lachesis, Lycopus virginicus, Naja, Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron , Vipera berus, Echinacea, Hypericum,Valeriana"
Nervousness - Anxiety,"Aconitum nap., Ambra, Anacardium orientale, Arg.nit., Asafoetida, Bryonia, Chamomilla, Cimicifuga, Coffea cruda, Cypripedium, Gelsemium, Hyoscyamus, Hypericum, Ignatia, Kali phos., Nux vom., Sambucus nig., Strychninum, Theridion, Valeriana, Passiflora"
Neuro - Care,"Aconitum nap., Arg.nit., Arsenicum alb., Belladonna, Bryonia, Cinchona, Gelsemium, Hypericum, Ignatia, Kalmia, Lachesis, Lycopodium, Mag. phos., Mezereum, Phosphorus, Pulsatilla, Rhus toxicodendron, Stramonium, Strychninum, Verbascum, Chamomilla"
Prostate,"Thyroidinum, Baryta carb., Berber. vulg., Bryonia, Calc. carb., Cinchona, Conium, Digitalis, Ferrum picricum, Hydrastis, Iodium, Lycopodium, Nux vom., Pareira, Pulsatilla, Sabal, Selenium, Staphysag., Thuja occ., Trifolium pratense, Echinacea, Hydrastis, Lappa, Solidago"
Prostate,"Thyroidinum, Baryta carb., Berber. vulg., Bryonia, Calc. carb., Cinchona, Conium, Digitalis, Ferrum picricum, Hydrastis, Iodium, Lycopodium, Nux vom., Pareira, Pulsatilla, Sabal, Selenium, Staphysag., Thuja occ., Trifolium pratense, Echinacea, Lappa, Solidago"
Acne Cystic Acne,"Antimon. crud., Arsenicum alb., Aur. met., Berber. aqui., Bovista, Carbo veg., Causticum, Chelidonium majus, Dulcamara, Graphites, Hepar sulph. calc., Hydrocotyle, Kali brom., Kali iod., Ledum, Lycopodium, Nux vom., Silicea, Sulphur iod., Zinc. met., Echinacea, Juglans regia, Lappa, Taraxacum"
Acne - Cystic Acne,"Antimon. crud., Arsenicum alb., Aur. met., Berber. aqui., Bovista, Carbo veg., Causticum, Chelidonium majus, Dulcamara, Graphites, Hepar sulph. calc., Hydrocotyle, Kali brom., Kali iod., Ledum, Lycopodium, Nux vom., Silicea, Sulphur iod., Zinc. met., Echinacea, Juglans regia, Lappa, Taraxacum"
Varicose Veins - Phlebitis,"Elaps corallinus, Crotalus horridus, Bryonia, Calc. fluor., Carduus mar., Cholesterinum, Cinchona, Digitalis, Hamamelis, Hydrofluoricum acidum, Lachesis, Lycopodium, Naja, Pulsatilla, Vipera berus, Zinc. met., Aesculus hipp., Echinacea"
Insect Bites,"Pyrogenium, Apis mel., Aranea diadema, Arnica, Arsenicum alb, Azadirachta indica, Bryonia, Caladium seguinum , Calendula, Formica, Grindelia, Hypericum , Lachesis 15x, Latrodectus mactans, Ledum, Mezereum , Nux vom., Pulex irritans, Rhus toxicodendron, Tarentula cubensis, Tarentula hispana, Theridion, Thuja occ., Vespa crabro, Echinacea, Hamamelis Solidago"
Poison Ivy,"Xerophyllum asphodeloides, Aconitum nap., Anacardium occidentale, Apis mel., Bryonia, Cantharis, Croton, Graphites, Grindelia, Mezereum, Nux vom., Ranunc. bulb., Rhus toxicodendron, Sarsaparilla, Sulphur, Echinacea, Rumex crisp., Taraxacum, Urtica ur."
Sciatica Back,"Aconitum nap., Ammonium benzoicum, Arsenicum alb., Benzoicum acidum, Bryonia, Causticum, Cinchona, Colchicum, Gnaphalium polycephalum, Iris versicolor, Kali iod., Ledum, Lithium carb., Nux vom., Phytolacca, Rhus toxicodendron, Ruta, Sambucus nig., Strychninum, Hypericum, Urtica ur., Hypericum, Urtica ur."
Sciatica - Back Care,"Aconitum nap., Ammonium benzoicum, Arsenicum alb., Benzoicum acidum, Bryonia, Causticum, Cinchona, Colchicum, Gnaphalium polycephalum, Iris versicolor, Kali iod., Ledum, Lithium carb., Nux vom., Phytolacca, Rhus toxicodendron, Ruta, Sambucus nig., Strychninum, Hypericum, Urtica ur."
Parasites,"Abrotanum, Aesculus hipp., Allium sativum, Arsenicum alb., Artemisia, Baptisia, Cina, Cuprum met., Filix mas, Granatum, Ipecac., Lachesis, Lycopodium, Merc. viv., Naphthalinum, Nat.mur., Nux vom., Pulsatilla, Ratanhia, Ruta, Sabadilla, Santoninum, Silicea, Spigelia anth., Terebinthina, Teucrium marum, Thymolum, Zingiber, Juglans regia"
Candidiasis Yeast,"Adrenalinum, Candida albicans Thyroidinum, Torula cerevisiae, Triticum, Ustilago maidis, Antimon. crud., Arsenicum alb., Baptisia, Berber. aqui, Bryonia Calc. phos., Cinchona, Helonias dioica, Hydrastis, Iodium, Iris versicolor, Kali carb., Lachesis , Lycopodium, Merc. viv., Nat. carb, Nat. phos., Nitricum ac., Phosphorus, Podoph. pelt., Pulsatilla, Sepia, Echinacea, Ginkgo, Juglans regia, Lappa, Thuja occ., Echinacea, Ginkgo, Juglans regia, Lappa, Thuja occ."
Candidiasis - Yeast,"Adrenalinum, Candida albicans Thyroidinum, Torula cerevisiae, Triticum, Ustilago maidis, Antimon. crud., Arsenicum alb., Baptisia, Berber. aqui, Bryonia Calc. phos., Cinchona, Helonias dioica, Hydrastis, Iodium, Iris versicolor, Kali carb., Lachesis , Lycopodium, Merc. viv., Nat. carb, Nat. phos., Nitricum ac., Phosphorus, Podoph. pelt., Pulsatilla, Sepia, Echinacea, Ginkgo, Juglans regia, Lappa, Thuja occ."
Vaginitis - Feminine Care,"Agaricus musc., Arsenicum alb., Aur. met, Berber. aqui., Caladium seguinum, Candida albicans, Cantharis, Conium, Graphites, Helonias dioica, Hydrastis, Kali carb., Kreosotum, Lycopodium, Merc. viv., Murex purpurea, Nat. mur, Nitricum ac., Pulsatilla, Rhus toxicodendron, Sepia, Sulphur, Tarentula hispana, Thuja occ., Zinc. met., Apis mel, Hamamelis"
Edometriosis,"Arsenicum alb., Bryonia, Cimicifuga, Cinchona, Conium, Hydrastis, Iodium, Lachesis, Lilium, Lycopodium, Phosphorus, Pulsatilla, Rhus toxicodendron, Sabina, Secale, Sepia, Apis mel., Hamamelis"
Muscle - Tendon,"Aconitum nap., Antimon. tart., Arg. nit., Arnica, Bryonia, Chamomilla, Chelidonium majus, Cimicifuga, Eupatorium perf., Hypericum, Nux vom., Rhus toxicodendron, Ruta, Sarcolacticum ac., Stramonium, Strychninum, Phytolacca, Symphytum"
Inflammation - Fever,"Anthracinum, Pyrogenium, Aconitum nap., Aloe, Apis mel., Arnica, Arsenicum alb., Baptisia, Belladonna, Bryonia, Cantharis, Chelidonium majus, Crotalus horridus, Ferrum phosphoricum, Gaultheria procumbens, Hepar sulph. calc., Iodium, Lachesis, Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron, Veratrum viride, Verbascum, Echinacea"
Injury - Rescue,"Aconitum nap., Arnica, Bellis , Calendula , Echinacea, Gelsemium, Hamamelis, Hypericum , Ledum, Phosphorus, Rhus toxicodendron, Ruta, Staphysag., Symphytum, Hydrastis"
Breast Care - Fibrocystic,"Bufo rana, Apis mel., Asterias rubens, Belladonna, Bryonia, Calc. carb.,Chamomilla, Chimaphila umbellata, Cinchona, Conium, Croton, Echinacea, Graphites, Helonias dioica, Lachesis, Merc. viv., Phellandrium aquaticum, Phosphorus, Phytolacca, Pulsatilla, Sanguinaria, Silicea, Hamamelis, Ruta, Taraxacum"
Dizziness - Vertigo,"Absinthium, Aconitum nap., Antimon. tart., Belladonna, Bryonia, Carbolicum acidum, Colchicum, Conium, Ferrum metallicum, Gelsemium, Glonoinum, Hyoscyamus, Ipecac., Iris versicolor, Lycopodium, Nux vom., Petroleum, Phosphorus, Sepia, Symphoricarpus racemosus, Tabacum, Theridion, Zingiber, Echinacea, Hypericum, Passiflora, Valeriana"
Digestive Care,"Antimon. crud., Arg. nit., Arsenicum alb., Baptisia, Bismuthum metallicum, Bryonia, Chamomilla, Cinchona, Iris versicolor, Kali bic., Lachesis, Lycopodium, Mag. carb., Nux vom., Phosphorus, Podoph. pelt., Pulsatilla, Raphanus, Rhus toxicodendron, Tabacum, Verbascum, Zingiber, Echinacea, Juglans regia"
Hypoglycemia,"Adrenalinum, Arg. nit.,Arsenicum alb., Bryonia, Cinchona, Graphites,Iodium, Iris versicolor, Lachesis, Lycopodium, Nat. mur., Phosphorus, Phytolacca, Sulphur,Thyroidinum"
Libido,"Agnus, Aralia quinquefolia, Baryta carb., Berber. vulg., Bryonia, Caladium seguinum, Cantharis, Causticum, Chelidonium majus, Cinchona, Conium, Gaultheria procumbens, Graphites, Kali carb., Lycopodium, Nux vom., Onosmodium virginianum, Phosphorus, Sabal, Selenium, Sepia, Silicea, Staphysag., Hydrastis, Thuja occ."
Menorrhagia,"Aletris, Apocynum, Cinchona, Cinnamomum, Conium, Helonias dioica, Lilium, Millefolium, Phosphorus, Secale, Thlaspi, Trillium pendulum, Apis mel., Hamamelis, Hydrastis"
Urticaria - Rashes,"Antimon. crud., Apis mel., Arsenicum alb., Berber. vulg., Bovista, Bryonia, Cantharis, Chelidonium majus, Croton, Dulcamara, Graphites, Histaminum hydrochloricum, Lycopodium, Mezereum , Nux vom., Petroleum, Pulex irritans, Pulsatilla, Rhus toxicodendron, Sarsaparilla, Sulphur, Echinacea, Rumex crisp., Taraxacum, Urtica ur."
Gastritis - Ulcer,"Antimon. crud., Arg. nit., Arsenicum alb., Baptisia, Bismuthum metallicum, Bryonia, Cinchona, Colocynthis, Graphites, Hepar sulph. calc., Hydrastis, Ipecac., Kali bic., Kali carb., Lycopodium, Mag. carb. Mag. phos., Nux vom., Phosphorus, Podoph. pelt., Pulsatilla, Zingiber, Chamomilla, Echinacea, Iris versicolor, Ruta,Taraxacum"
Warts - Moles - Skin Tags,"Antimon. crud., Bryonia, Calc.carb., Causticum, Dulcamara, Graphites, Lycopodium, Merc. sulph. rub., Nat. carb., Nitricum ac., Nux vom., Rhus toxicodendron, Sabina, Sepia, Silicea, Staphysag., Sulphur, Thuja occ.,Taraxacum"
Incontinence,"Aloe, Arg. nit., Arsenicum alb., Belladonna, Benzoicum acidum, Bryonia, Cantharis, Causticum, Equisetum hyemale, Ferrum metallicum, Gelsemium, Ignatia, Kali phos., Lycopodium, Nat. mur., Nitricum ac., Plantago, Pulsatilla, Rhus aromatica, Sabal, Secale, Sepia, Staphysag., Stramonium, Thyroidinum, Verbascum, Echinacea, Hydrastis"
Appetite - Craving Control,"Anacardium orientale, Antimon. crud., Arg. nit., Berber. vulg., Bryonia, Chelidonium majus, Digitalis, Graphites, Humulus, Iris versicolor, Kali carb., Lycopodium, Nat. carb. , Nat. sulphuricum, Nux vom., Pulsatilla, Rhus toxicodendron, Scutellaria lateriflora, Sepia, Stramonium, Chamomilla, Passiflora, Valeriana"
Edema,"Elaps corallinus , Apis mel., Arsenicum alb. , Cantharis, Cinchona , Colchicum , Convallaria , Crotalus horridus , Digitalis , Juniperus com , Lachesis , Merc. viv. , Naja , Nat. carb. , Nat. sulphuricum , Rhus toxicodendron , Sambucus nig. , Strophanthus hispidus , Thuja occ. , Vipera berus , Echinacea , Lappa , Solidago , Taraxacum , Urtica ur."
Lymphatic Drainer,"Asterias rubens, Aur. met.,Belladonna, Benzoicum acidum, Berber. vulg., Bryonia, Calc. carb., Cantharis, Ceanothus, Chelidonium majus Chionanthus virginica, Cinchona, Dioscorea ,Iris versicolor, Nat. carb., Nux vom., Ptelea, Carduus mar., Echinacea, Solidago, Taraxacum"
intestinal Bacteria,"Pyrogenium, Arsenicum alb.,Baptisia, Bryonia, Cinchona, Collinsonia, Iodium, Iris versicolor, Lachesis, Lycopodium, Nat. carb.,Nat.mur.,Nux vom., Phosphorus, Podoph. pelt., Pulsatilla, Rhus toxicodendron, Dioscorea, Echinacea, Urtica ur."
Bacterial Infection,"Anthracinum , Pyrogenium, Aconitum nap., Arnica, Arsenicum alb., Baptisia, Bryonia, Hydrastis, Iodium, Lachesis, Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron , Echinacea , Iris versicolor, Urtica ur."
Exhaustion Chronic Fatigue,"Aconitum nap., Adrenalinum, Aralia quinquefolia, Arnica, Arsenicum alb., Baptisia, Bryonia, Cantharis, Chelidonium majus, Cinchona, Iodium, Kali carb., Kali iod.,Lachesis,Lycopodium, Lycopus virginicus, Nat. mur., Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron, Sabal, Thyroidinum, Echinacea, Gingko, Phytolacca, alcohol"
Exhaustion - Chronic Fatigue,"Aconitum nap., Adrenalinum, Aralia quinquefolia, Arnica, Arsenicum alb., Baptisia, Bryonia, Cantharis, Chelidonium majus, Cinchona, Iodium, Kali carb., Kali iod., Lachesis, Lycopodium, Lycopus virginicus, Nat. mur., Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron, Sabal, Thyroidinum, Echinacea, Gingko, Phytolacca"
Viral Infection,"Influenza A Virus, Influenza B Virus, Morbillinum, Aconitum nap., Antimon. tart., Arnica, Arsenicum alb., Baptisia, Belladonna, Bryonia, Cantharis, Chamomilla, Gaultheria procumbens, Hepar sulph. calc., Iodium, Lachesis, Lycopodium, Merc.viv., Phosphorus, Pulsatilla, Rhus toxicodendron, Trifolium pratense, Echinacea, Hydrastis"
Heavy Metal Amalga Detox,"Allium sat, Alumin met, Arg. met., Aur. met., Baryta carb., Beryllium, Bismuthum met, Cadmium met,Calc. fluor., Carbo veg., Chelidonium maj, Cinchona, Cobaltum met., Cuprum met., Glycyrrhiza, Hydrofluoricum ac, Iris ver, Mang met, Merc. viv., Niccolum met, Osmium met, Platinum met., Plumb. met., Stannum met., Strontium carb., Thallium met, Titanium met, Carduus mar., Iris versicolor, Tarax, Carduus mar."
Heavy Metal - Amalga Detox,"Allium sat., Alumin met., Arg. met., Aur. met., Baryta carb., Beryllium, Bismuthum met., Cadmium met., Calc. fluor., Carbo veg., Chelidonium maj., Cinchona, Cobaltum met., Cuprum met., Glycyrrhiza, Hydrofluoricum ac., Iris versicolor, Mang met., Merc. viv., Niccolum met., Osmium met., Platinum met., Plumb. met., Stannum met., Strontium carb., Thallium met., Titanium met., Carduus mar., Taraxacum"
Connective Tissue,"Arsenicum alb., Baptisia, Berber. aqui., Calc. fluor., Capsicum, Cinchona, Iodium, Kali carb., Lachesis, Mag. carb., Merc.viv., Nat. carb., Nat. mur., Natrum sulphuricum, Phosphorus, Phytolacca, Secale, Thymus serpyllum, Thuja occ., Thyroidinum, Verbascum, Carduus mar., Echinacea, Solidago, Taraxacum"
Pollen - Weeds,"Xerophyllum asphodeloides, Adrenalinum, Alfalfa, Aletris farinosa, Artemisia vulgaris, Bellis perennis, Dysphania ambrosioides, Lycopus virginicus, Phytolacca american root, Populus tremuloides, Ptelea trifoliata, Sambusus nigra, Trillium erectum root, Elymus repens root, Urtica urens, Wyethia helenioides, Yucca filamentosa, Avena sativa pollen, Cynosurus cristatus pollen. Echinochloa crus-galli pollen, Poa pratensis pollen, Anthoxanthum odoratum pollen, Agrostis gigantea pollen, Bromus secalinus pollen"
Glaucoma,"Aconitum nap., Aur. met., Belladonna, Causticum, Cinchona, Colchicum, Euphrasia, Gelsemium, Nux vom., Osmium metallicum, Phosphorus, Physostigma, Rhus toxicodendron, Spigelia anth."
Tinnitus,"Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac, Tabacum, Thiosinaminum, Viola odorata"
Cataracts,"Arsenicum alb., Bryonia, Calc. fluor., Calendula, Causticum, Conium , Euphrasia, Hydrofluoricum acidum , Iodium, Ledum, Naphthalinum, Nat. mur., Nux vom., Phosphorus, Pulsatilla, Sepia, Silicea, Tellurium metallicum, Thiosinaminum, Zinc. met., Euphrasia"
Cataracts,"Arsenicum alb., Bryonia, Calc. fluor., Calendula, Causticum, Conium , Euphrasia, Hydrofluoricum acidum, Iodium, Ledum, Naphthalinum, Nat. mur., Nux vom., Phosphorus, Pulsatilla, Sepia, Silicea, Tellurium metallicum, Thiosinaminum, Zinc. met."
Female Fibroids,"Arsenicum alb., clacarea iodata, Carbo animalis, Conium, Graphites, Hydrastis, Iodium, Kreosotum, Lachesis, Phosphorus, Sabina, Secale, Sepia, Silicea, Thlaspi, Thuja occ., Thyroidinum, Trillium pendulum, Ustilago maidis"
Eye Floaters,"Aloe, Carbo veg., Causticum,Chelidonium majus, Cholesterinum, Cinchona, Colchicum, Cyclamen, Gelsemium, Kali carb., Merc. viv.,Phosphorus, hysostigma, Prunus spin., Senega officinalis, Sepia, Sulphur, Tabacum, Euphrasia"
Macular Degeneration,"Elaps corallinus, Aconitum nap.,Aur. met., Baryta carb., Belladonna, Crotalus horridus, Gelsemium, Hamamelis, Lachesis, Merc. viv.,Phosphorus, Picricum ac., Plumbum met., Pulsatilla,Rhus toxicodendron, Stramonium, Theridion, Euphrasia"
Cell Salts,"Calc. fluor., Calc. phos., Calc. sulph., Ferrum phosphoricum, Kali mur., Kali phos., Kali sulph., Mag. phos., Nat. mur., Nat. phos., Nat. sulphuricum, Silicea"
Restless Leg,"Mygale, Agaricus musc., Causticum, Cinchona, Conium, Cuprum met., Gelsemium, Hyoscyamus, Hypericum, Kali carb, Mag.carb, Merc. viv., Nux vom., Plumb. met., Rhus toxicodendron, Secale, Strychninum, Tarentula hispana, Valeriana, Verbascum, Zinc. met., Chamomilla, Passiflora"
Fungal Infection,"Candida albicans, Sanicula, Tellurium metallicum, Torula cerevisiae, Antimon. crud., Arsenicum alb., Baryta carb., Bryonia, Calc. carb., Carbo veg., Cuprum met., Dulcamara, Graphites, Kali carb., Lachesis, Lycopodium, Mezereum, Nitricum ac., Phosphorus, Phytolacca, Sepia, Silicea, Sulphur, Sulphuricum ac., Zinc. met., Apis mel., Thuja."
Prime of Life,"Agnus, Allium sativum, Ambra, Angelica sinensis radix , Aralia quinquefolia, Arnica , Arsenicum alb., Avena, Baptisia, Baryta carb., Bryonia, Cantharis, Lachesis, Lycopodium, Nux vom., Phosphoricum ac., Pulsatilla, Ruta, Sabal, Selenium, Zinc.met.,Ginkgo"
Panic Ease,"Aconitum nap., Apis mel., Arnica, Arsenicum alb., Belladonna, Bellis, Bryonia, Calendula, Chamomilla, Cistus canadensis, Ferrum phosphoricum, Histaminum hydrochloricum, Hypericum, Ignatia, Mezereum, Ornithogalum, Passiflora, Phosphorus, Prunus spin., Rhus toxicodendron, Sarcolacticum ac., Sulphur, Veratrum alb., Valeriana"
Immune Waker,"Influenzinum, Pyrogenium, Anthracinum,Arnica, Belladonna, Cantharis, Aconitum nap., Arsenicum alb., Baptisia, Bryonia, Hepar sulph. calc., Iodium, Lachesis, Merc. viv., Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron, Apis mel., Echinacea, Hydrastis, Thuja occ."
Immune Waker,"Influenzinum, Anthracinum, Arnica, Belladonna, Aconitum nap., Arsenicum alb., Baptisia, Bryonia, Hepar sulph. calc., Iodium, Lachesis, Lycopodium, Merc. viv., Nux vom., Phos., Pulsatilla, Rhus tox., Apis mel., Echinacea, Hydrastis, Thuja occ., Aaricus musc,. Allium sat., Aloe, Calc. carb., Calendula, Capiscum, Carduus mar., Salvia, Selenium, Taraxacum, Tarentula hisp., Zinc. met., Zingiber"
Multi-System,"Aspergillus niger, Cladosporium, Candida albicans, Thyroidinum, Ustilago maidis, Aconitum nap., Antimonium tart. Aralia quinquefolia, Arnica, Arsenicum alb., Baptisia, Bryonia, Cantharis, Chelidonium majus, Cinchona, Echinacea, Iodium, Kali carb. Kali iod., Lachesis, Lycopodium Lycopus virginicus, Nat. mur., Nux vom., Phosphorus, Phytolacca, Pulsatilla, Rhus toxicodendron, Sabal"
Cardiac Care,"Elaps corallinus, Aconitum nap., Arsenicum alb., Aur. met., Baryta carb., Benzoicum acidum, Berber. vulg., Bryonia, Calc. fluor. , Cantharis, Ceanothus, Chelidonium majus, Chionanthus virginica, Cinchona, Convallaria, Crotalus horridus, Digitalis, Gelsemium , Glonoinum, Hydroflouricum acidum, Kali iodatum, Lachesis, Lycopus virginicus, Naja, Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron , Vipera berus, Echinacea, Hypericum,Valeriana"
Childbirth Care,"Arnica, Caulophyllum, Cimicifuga, Gelsemium, Pulsatilla"
Depression - Mood - Distress,"Angelica sinensis, radix, Aralia quinquefolia, Arg. nit., Arsenicum alb., Berber. aqui., Capsicum, Cinchona, Digitalis, Gelsemium, Hypericum, Ignatia, Iodium, Kali brom., Kali carb., Mag. phos., Nat. carb., Nat. mur., Phosphorus, Salix nigra, Sanguinaria, Sepia, Stramonium, Echinacea, Ginkgo"
Arnica montana,Arnica montana
